,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
3500,294718.0417968749,SFH,60077,1100,7,1,0,No,3.0,0,2.0,19A
6859,330946.875,SFH,60025,1600,6,2,0,No,3.0,0,2.0,19B
6623,415125.0,SFH,60025,1500,7,2,0,Yes,3.0,0,2.0,19A
8672,336662.9316406249,SFH,60076,1422,9,1,1,No,3.0,0,2.5,19A
4572,571775.0773437498,SFH,60062,2668,8,2,1,No,4.0,0,2.0,19A
5742,267909.375,Townhouse,60025,1512,8,2,1,No,3.0,0,0.0,19A
6973,315187.5,Condo,60202,1500,6,2,0,No,3.0,0,0.0,19B
9322,814234.3749999999,SFH,60201,2200,11,3,1,No,4.0,0,1.0,19B
8476,799499.9999999999,SFH,60201,2196,9,2,1,No,4.0,0,1.0,19B
6381,156312.5,SFH,60002,1512,7,2,0,Yes,4.0,0,2.5,19A
952,451000.0,SFH,60201,1750,7,2,1,Yes,3.0,0,1.0,19B
1549,585020.8320312498,SFH,60076,4029,10,3,1,No,4.0,0,2.1,19B
561,273687.8125,Townhouse,60091,1288,6,2,1,No,3.0,0,0.0,19A
3031,271376.43749999994,SFH,60076,1242,6,1,1,No,3.0,0,0.0,19A
7894,1218725.0,SFH,60091,3619,12,3,1,No,5.0,0,3.0,19B
5988,835374.9999999999,Condo,60091,2145,7,2,1,No,2.0,0,2.0,19A
2626,709171.875,SFH,60062,4017,10,3,1,Yes,4.0,0,2.0,19A
253,466375.0,SFH,60077,2730,10,3,0,No,5.0,0,2.5,19A
7845,449667.5,Townhouse,60062,2565,9,2,1,No,4.0,0,2.0,19A
5250,420250.0,SFH,60076,2044,9,2,2,Yes,3.0,0,2.0,19A
5450,640881.25,SFH,60202,2707,9,2,0,No,3.0,0,2.0,19B
1784,1008600.0,SFH,60091,2728,10,3,2,No,4.0,0,2.0,Pre1900
2474,782715.6249999999,SFH,60062,4130,13,4,1,Yes,5.0,0,2.5,19A
985,563750.0,SFH,60062,4050,15,3,1,No,5.0,0,2.0,19A
3875,1060737.2656249998,SFH,60062,5300,14,7,1,Yes,6.0,1,3.0,19B
6774,380326.25,Townhouse,60053,1900,8,2,1,No,3.0,0,2.0,20A
2239,274700.0,SFH,60076,1001,6,1,0,No,3.0,0,2.0,19A
441,250048.75,Condo,60076,1910,6,2,0,No,2.0,0,1.0,19A
7976,386603.7343749999,Condo,60077,1700,6,2,0,No,3.0,0,2.0,20A
5245,194365.625,Condo,60202,1500,6,2,0,No,3.0,0,0.0,19A
3749,268550.0,SFH,60053,1129,8,2,0,Yes,3.0,1,0.0,19A
5861,220375.0,SFH,60053,1079,7,1,0,No,3.0,0,1.0,19A
2189,354480.875,SFH,60202,1440,11,2,0,No,3.0,0,0.0,19A
4098,284950.0,SFH,60002,3136,10,2,2,Yes,4.0,0,2.0,20A
8096,303630.625,Condo,60203,1390,5,2,0,No,2.0,0,1.0,19A
8716,451768.75,Townhouse,60026,1835,7,2,1,No,3.0,0,2.0,recent
8993,1260750.0,SFH,60029,3778,12,3,1,No,4.0,0,2.5,19B
2914,444414.375,SFH,60062,2133,9,3,1,Yes,4.0,0,2.0,19A
4562,448950.0,SFH,60053,1876,9,3,1,Yes,3.0,0,2.0,19A
1149,656640.625,SFH,60062,2968,11,2,1,No,4.0,0,2.0,19A
2662,350549.99999999994,SFH,60053,1144,7,2,0,Yes,3.0,0,2.0,19A
6745,445875.0,SFH,60091,2200,9,2,0,Yes,3.0,0,2.5,19A
3297,436650.0,Duplex,60062,1746,8,2,1,No,3.0,0,2.0,19A
4011,614615.625,SFH,60091,1500,10,3,0,Yes,3.0,1,2.0,19A
7935,467912.5,SFH,60076,1792,7,2,0,No,3.0,0,2.5,19A
1035,507375.0,SFH,60076,2600,8,3,1,Yes,4.0,0,2.0,20A
2752,541071.875,Condo,60201,1389,5,2,0,No,2.0,0,2.0,20A
6749,522750.0,SFH,60091,3140,12,3,1,Yes,6.0,0,1.0,19B
3963,287000.0,SFH,60053,1148,7,2,0,Yes,3.0,0,1.0,19A
3420,884311.0624999999,SFH,60025,3236,9,4,0,No,4.0,0,2.0,recent
917,351959.375,SFH,60076,1374,7,2,0,No,3.0,0,1.0,19A
4690,461250.0,SFH,60091,3000,11,3,1,Yes,5.0,1,1.0,19A
3056,678703.75,Condo,60201,1737,6,2,1,No,3.0,0,2.0,20A
1339,398186.875,Condo,60077,2015,6,2,0,No,2.0,0,2.0,20A
9004,707249.9999999999,SFH,60202,2350,10,2,0,No,5.0,0,0.0,Pre1900
3732,512179.6875,SFH,60062,2688,9,2,1,No,4.0,0,2.0,19A
7375,440211.875,Townhouse,60025,2476,8,3,1,Yes,3.0,0,2.0,19A
658,199618.75,Condo,60202,1100,5,2,0,No,2.0,0,0.0,19A
8619,271376.43749999994,SFH,60077,1233,6,1,1,No,3.0,0,2.0,19A
3290,569964.0625,SFH,60201,2211,7,2,0,No,4.0,0,2.0,19B
2751,246000.0,SFH,60053,1018,7,2,0,Yes,3.0,0,2.0,19A
1881,302375.0,SFH,60077,1700,8,2,1,Yes,3.0,1,1.0,19A
1531,971828.125,SFH,60091,3341,9,3,1,Yes,3.0,0,1.0,19B
3202,317750.0,SFH,60053,1200,7,2,0,Yes,3.0,0,2.0,19A
6627,360758.3593749999,SFH,60077,1782,7,2,1,Yes,4.0,0,2.5,19A
2443,1100004.375,SFH,60091,4002,11,3,1,No,4.0,0,2.0,19B
2447,440750.0,SFH,60053,1578,8,3,1,Yes,4.0,0,2.0,19A
2919,179374.99999999997,Condo,60062,1200,6,2,0,No,2.0,0,0.0,19A
1412,429705.625,SFH,60062,2515,6,2,1,No,3.0,0,2.0,19A
939,440750.0,Townhouse,60026,1700,7,2,1,No,3.0,0,2.0,20A
2172,798474.9999999999,Townhouse,60026,3840,8,2,2,No,3.0,0,2.5,20A
2353,464376.25,SFH,60077,1985,8,3,0,Yes,3.0,0,2.5,19B
5252,401141.7578124999,SFH,60076,1400,7,2,1,Yes,3.0,0,0.0,19A
4623,666250.0,SFH,60062,2425,9,2,1,No,4.0,0,2.0,19A
8730,565367.5781249998,SFH,60076,3030,9,4,0,Yes,4.0,0,0.0,19A
3872,998093.75,SFH,60201,2496,10,2,1,No,4.0,0,3.0,20A
3911,1230000.0,SFH,60091,3420,12,3,1,No,6.0,0,2.0,19B
9323,387450.0,Townhouse,60025,2704,12,3,1,Yes,3.0,0,2.0,19A
3703,250048.75,Condo,60053,1286,5,2,0,No,2.0,0,2.0,20A
5067,550425.0,SFH,60025,2800,9,2,1,No,4.0,0,2.0,19A
4826,646134.375,SFH,60062,3597,8,3,1,No,4.0,0,2.0,19A
3422,420250.0,Townhouse,60062,2565,9,2,1,No,4.0,0,2.0,19A
301,168415.1875,Condo,60025,890,5,1,0,No,2.0,0,0.0,19A
3476,359843.00234374986,SFH,60062,1987,8,2,1,No,4.0,0,2.0,19A
3692,461250.0,SFH,60025,1369,10,2,0,Yes,3.0,0,2.0,19A
7379,141834.375,Condo,60053,1050,4,1,0,No,1.0,0,1.0,19A
8437,195994.09374999997,Condo,60076,1800,6,2,0,No,2.0,0,2.0,19A
6010,567337.5,SFH,60062,2364,9,2,1,No,4.0,0,2.0,19A
484,782715.6249999999,SFH,60203,3804,10,3,1,No,5.0,0,2.0,19B
6520,315187.5,SFH,60076,1128,8,2,0,Yes,2.0,1,1.0,19A
1693,231650.0,SFH,60201,1750,8,2,1,Yes,4.0,0,0.0,19B
3655,292073.75,SFH,60025,1813,7,2,0,No,4.0,0,2.0,19B
3376,300452.4843749999,SFH,60062,1125,8,2,0,Yes,3.0,0,1.0,19A
1410,533000.0,SFH,60091,2100,7,2,1,No,3.0,0,2.0,19A
7775,110700.0,Condo,60202,681,3,1,0,No,1.0,0,0.0,19B
5846,714425.0,SFH,60062,2700,10,2,1,No,4.0,0,2.0,19A
1215,1512223.6601562493,SFH,60062,5000,13,5,2,Yes,4.0,0,3.0,19B
5732,233146.8203124999,SFH,60076,1720,7,1,1,No,3.0,0,2.0,19B
4067,322875.0,SFH,60025,1363,6,2,0,Yes,3.0,0,2.0,19A
2757,333125.0,SFH,60062,1362,8,2,0,Yes,3.0,0,1.0,19A
2798,499046.875,Condo,60201,1569,5,2,0,No,2.0,0,1.0,20A
513,751196.875,SFH,60201,2668,12,1,1,No,4.0,0,0.0,Pre1900
3198,829205.7812499998,SFH,60062,3049,10,3,0,No,4.0,0,2.0,19A
2045,510450.0,SFH,60062,1919,10,3,0,Yes,5.0,0,2.0,19A
6316,467528.125,SFH,60062,3441,10,2,1,No,4.0,0,2.0,19A
5767,230522.5,SFH,60002,1656,9,2,1,Yes,3.0,0,2.0,19A
4433,211150.0,SFH,60002,2034,8,2,1,No,3.0,0,2.0,20A
2706,577843.75,Townhouse,60077,2770,7,3,1,No,3.0,0,1.0,recent
8540,296144.9218749999,SFH,60076,1320,7,2,0,No,4.0,0,0.0,19A
2527,486875.0,SFH,60091,1403,8,2,1,Yes,3.0,0,1.0,19A
4195,282297.3,SFH,60025,1436,9,1,1,No,3.0,0,1.0,19A
2070,674501.25,Townhouse,60201,2400,7,2,1,No,3.0,0,2.0,19A
3406,1601874.8046874995,SFH,60062,6559,18,5,3,Yes,4.0,1,3.0,20A
7169,681624.9999999999,SFH,60025,3179,11,2,1,No,4.0,0,2.0,19B
2190,240875.0,SFH,60002,2206,10,3,1,Yes,3.0,0,2.0,19A
5805,1025000.0,SFH,60091,3079,12,3,1,Yes,4.0,1,2.0,19B
5368,1527249.9999999998,SFH,60091,5727,15,5,1,Yes,6.0,0,2.0,20A
4844,486875.0,SFH,60091,2162,7,1,1,No,4.0,0,1.0,Pre1900
2029,963500.0,SFH,60062,5490,14,4,1,No,5.0,0,3.0,20A
5961,137303.55468749994,Condo,60077,1000,4,1,0,No,1.0,0,1.0,19A
2700,338870.55742187484,SFH,60062,1008,5,1,0,No,3.0,0,1.5,19A
2098,367718.75,Townhouse,60062,2072,7,2,1,No,3.0,0,2.0,19A
6169,569675.1406249998,SFH,60062,3115,8,2,1,No,4.0,0,2.5,19A
703,328000.0,SFH,60076,1252,8,2,0,Yes,3.0,0,2.0,19A
4148,308883.75,SFH,60002,2464,9,2,1,No,4.0,0,3.0,19A
8091,322875.0,SFH,60025,1580,7,1,1,No,3.0,0,1.0,19A
3637,399750.0,SFH,60025,1845,8,2,0,Yes,3.0,1,2.0,19A
5240,1358124.9999999998,SFH,60025,3994,16,4,1,Yes,5.0,1,3.0,20A
3537,410000.0,SFH,60062,2354,10,2,1,No,4.0,0,2.0,19A
895,1204375.0,SFH,60025,4265,11,4,1,Yes,5.0,1,2.0,20A
3206,256250.0,SFH,60002,1825,6,2,0,No,3.0,0,2.0,recent
7319,589375.0,SFH,60091,2600,9,3,0,Yes,2.0,2,2.5,19A
5693,604750.0,SFH,60091,1796,9,2,0,No,3.0,0,2.0,19A
5971,216428.75,Townhouse,60091,1634,7,2,0,No,3.0,0,0.0,19A
8811,436009.375,SFH,60077,2300,10,2,1,No,3.0,0,2.1,19B
1678,330946.875,Townhouse,60062,1629,7,2,0,No,2.0,0,2.0,19A
6609,146575.0,Condo,60202,800,5,1,0,No,2.0,0,0.0,19B
6314,883050.3124999997,SFH,60062,3151,12,3,0,No,4.0,0,2.0,19A
8235,1192459.375,SFH,60202,4198,15,3,2,Yes,6.0,0,2.0,19B
2249,253876.96484374988,SFH,60076,1116,7,1,0,No,3.0,0,1.1,19A
768,886624.9999999999,SFH,60202,3200,13,2,1,No,5.0,0,2.5,Pre1900
3244,410269.0625,SFH,60077,1603,11,4,0,Yes,5.0,0,2.0,19A
8381,620131.40625,SFH,60091,2526,10,3,0,No,5.0,0,2.0,19A
8229,204871.875,Condo,60203,1475,5,2,0,No,2.0,0,1.0,19A
5825,141834.375,SFH,60002,980,5,1,0,No,2.0,0,0.0,19A
4766,320440.625,SFH,60002,3983,9,3,0,Yes,4.0,0,2.0,19A
2925,233187.5,SFH,60002,2530,8,2,1,No,3.0,0,2.0,20A
8833,220375.0,Condo,60201,1400,5,2,0,No,2.0,0,0.0,19A
8168,998093.75,SFH,60091,3521,14,5,1,Yes,5.0,1,2.0,20A
1758,306782.5,Townhouse,60091,1350,6,1,1,No,3.0,0,0.0,19A
912,220631.25,SFH,60002,1662,6,2,0,No,3.0,0,3.0,20A
8708,345937.49999999994,SFH,60076,1531,7,1,1,Yes,3.0,0,2.0,19A
2851,994226.425,SFH,60062,3050,8,2,1,No,3.0,0,2.0,recent
2276,554204.6875,SFH,60062,2800,9,3,0,No,3.0,0,2.0,19A
5555,881499.9999999999,SFH,60091,2360,10,2,1,No,4.0,0,2.0,Pre1900
2293,266500.0,Condo,60202,1100,5,2,0,No,2.0,0,0.0,19B
6875,336662.9316406249,SFH,60076,1200,6,1,0,Yes,3.0,0,2.0,19A
9321,316238.125,Condo,60062,1500,5,2,0,No,2.0,0,1.0,19A
2547,281875.0,SFH,60201,3500,8,2,1,Yes,4.0,0,2.0,19B
5086,556831.25,Townhouse,60025,2633,8,2,1,No,3.0,0,2.0,19A
2366,495895.0,SFH,60025,2301,8,2,0,No,3.0,0,2.5,19A
8129,825124.9999999999,SFH,60025,3109,12,3,1,Yes,3.0,1,2.0,20A
6460,840499.9999999999,SFH,60076,4312,14,5,0,Yes,6.0,0,2.0,20A
4679,343449.3125,SFH,60062,1866,9,2,0,No,3.0,0,2.0,19A
8465,128125.0,SFH,60002,1532,7,1,1,No,3.0,0,2.5,19A
2019,483287.5,SFH,60025,2060,8,2,0,No,3.0,0,2.0,19A
6567,588332.2707031248,SFH,60062,1863,11,2,0,No,3.0,0,2.0,19A
7750,567337.5,SFH,60091,2574,9,3,1,Yes,3.0,1,2.0,19A
5887,194750.0,Condo,60202,1200,5,1,0,No,2.0,0,0.0,19B
3078,296144.9218749999,SFH,60062,1040,8,2,0,No,3.0,0,2.0,19A
7852,267909.375,Condo,60002,1836,8,3,1,Yes,3.0,0,2.0,20A
7062,604750.0,SFH,60062,2750,9,2,1,No,4.0,0,2.0,19A
5614,1158250.0,SFH,60025,3482,13,5,1,Yes,6.0,0,2.0,20A
6281,217300.0,Condo,60077,1500,5,2,0,No,2.0,0,1.0,19A
8918,172199.99999999997,Condo,60077,1100,4,1,0,No,1.0,0,1.0,19A
6420,883050.3124999997,SFH,60062,3164,10,2,1,No,5.0,0,2.5,19A
5636,336662.9316406249,SFH,60076,2200,9,2,0,Yes,3.0,1,2.0,19A
2262,486875.0,SFH,60076,1828,8,2,1,Yes,4.0,0,2.0,19A
1914,429705.625,SFH,60076,2000,10,2,1,No,4.0,0,3.0,19B
7411,338249.99999999994,SFH,60077,1551,6,1,1,No,3.0,0,2.5,19B
8665,674449.9999999999,SFH,60201,2333,9,2,1,No,3.0,0,1.0,19B
3698,294175.0,SFH,60076,1006,7,1,0,No,3.0,0,2.5,19A
451,123000.0,Condo,60076,890,4,1,1,No,2.0,0,0.0,19A
4975,266500.0,Condo,60062,1700,6,2,0,No,3.0,0,1.0,19A
2739,871249.9999999999,SFH,60026,4659,10,4,1,No,5.0,0,3.0,recent
5634,609875.0,SFH,60201,1764,10,3,0,Yes,3.0,0,2.0,19B
5568,309934.375,SFH,60076,1800,7,2,0,Yes,3.0,0,2.0,19A
4100,662287.7343749998,SFH,60062,3200,10,3,1,Yes,4.0,1,2.0,19A
4847,814234.3749999999,SFH,60203,3520,12,3,0,Yes,5.0,0,2.0,19B
2041,420250.0,Townhouse,60053,2200,6,3,1,No,3.0,0,2.0,20A
6528,609875.0,SFH,60025,2802,9,3,1,Yes,4.0,0,2.0,20A
8873,417175.0,SFH,60002,4639,16,3,1,Yes,5.0,0,3.0,20A
7828,276314.375,SFH,60076,1592,7,1,1,No,2.0,0,2.0,19B
7499,271061.25,Condo,60026,1800,5,2,0,No,2.0,0,1.0,19A
9305,225500.0,Townhouse,60203,1085,5,1,1,No,2.0,0,0.0,19A
2987,432857.5,SFH,60025,1196,7,1,1,Yes,3.0,0,1.0,19A
3377,222425.0,Condo,60201,1400,5,2,0,No,2.0,0,0.0,19A
3536,512500.0,SFH,60077,2638,10,2,1,No,4.0,0,2.0,19A
7410,461250.0,SFH,60062,2663,9,2,1,No,4.0,0,2.0,19A
1775,100450.0,SFH,60002,900,4,1,0,No,2.0,0,0.0,19A
6510,612514.375,SFH,60062,2664,10,2,1,No,4.0,0,2.0,19A
4763,262400.0,SFH,60002,2994,10,2,1,No,4.0,0,3.0,20A
4378,420250.0,SFH,60062,1494,8,2,0,No,3.0,0,1.0,19B
5665,344604.9999999999,SFH,60076,1203,8,2,1,Yes,3.0,1,1.0,19A
8365,278694.040625,Condo,60202,1364,5,2,0,No,2.0,0,0.0,19A
1436,190609.64062499997,Condo,60076,1720,5,2,0,No,2.0,0,2.0,19A
7267,320965.9375,SFH,60002,3163,13,3,2,Yes,4.0,0,3.0,20A
6178,734386.875,SFH,60202,2885,9,3,0,No,5.0,0,2.0,19B
1691,222732.5,Condo,60202,1150,6,2,0,No,3.0,0,0.0,19A
7660,415125.0,SFH,60076,1904,8,2,1,Yes,3.0,0,2.0,19A
5558,533000.0,Condo,60077,2233,7,2,1,No,3.0,0,2.0,20A
5017,129119.18593749996,Condo,60077,1000,4,1,0,No,1.0,0,1.0,19A
1546,1142875.0,SFH,60062,4100,13,4,1,Yes,4.0,1,3.0,20A
8334,682906.25,SFH,60026,4814,13,3,1,Yes,4.0,1,3.0,20A
611,394625.0,SFH,60002,4545,11,4,0,Yes,4.0,2,3.0,19A
5549,307500.0,Duplex,60002,2000,7,3,0,Yes,3.0,0,2.0,19A
3710,394625.0,SFH,60002,1960,9,1,1,No,4.0,0,3.0,19A
1045,333022.5,Condo,60201,1300,5,2,0,No,2.0,0,1.0,19A
6335,346706.25,SFH,60053,1307,7,2,0,Yes,3.0,0,2.0,19A
8516,412370.3125,SFH,60091,1597,7,2,1,Yes,3.0,0,2.0,19A
2617,484825.0,SFH,60091,2994,10,3,1,Yes,4.0,0,2.0,19A
4036,281875.0,Condo,60062,2134,7,2,0,No,3.0,0,2.0,19A
7426,336200.0,SFH,60062,1048,5,2,0,Yes,2.0,0,2.0,19A
218,712374.9999999999,SFH,60053,3060,11,3,1,Yes,4.0,0,2.0,20A
6968,174240.90312499995,Condo,60076,1000,5,2,0,No,2.0,0,0.0,19A
1720,1034865.625,SFH,60201,4209,13,3,1,No,6.0,0,2.0,Pre1900
9318,407642.5,SFH,60077,1381,8,2,0,No,3.0,0,2.0,19A
2431,341453.125,SFH,60053,1220,7,2,0,Yes,3.0,0,2.0,19A
963,320440.625,SFH,60076,1450,7,2,0,No,3.0,0,1.0,19A
3289,360800.0,SFH,60053,1800,7,2,0,Yes,3.0,0,2.0,19A
4544,822114.0624999999,SFH,60076,6260,12,5,0,Yes,4.0,0,2.0,20A
1523,201997.75898437493,Condo,60077,1700,6,2,0,No,3.0,0,0.0,19A
8611,207050.0,SFH,60002,2271,9,2,1,No,3.0,0,2.0,20A
2280,374125.0,SFH,60076,2030,10,2,1,Yes,3.0,0,2.1,19A
5446,223962.5,SFH,60002,2768,8,2,0,No,3.0,0,2.0,19A
2053,438187.5,SFH,60091,3149,8,2,1,No,4.0,0,2.0,19A
7851,238423.5843749999,Condo,60077,1600,5,2,0,No,2.0,0,1.0,19A
4234,452294.0624999999,SFH,60076,2469,11,2,0,Yes,3.0,1,0.0,19A
8602,376175.0,SFH,60076,1500,9,3,0,Yes,4.0,0,2.5,19A
8854,250048.75,SFH,60002,1670,6,2,0,No,3.0,0,3.0,20A
4305,273675.0,Townhouse,60201,1400,7,1,1,No,3.0,0,0.0,19A
6090,703918.75,Townhouse,60026,4241,7,3,1,No,3.0,0,2.0,20A
7046,341453.125,SFH,60076,1298,7,2,0,Yes,3.0,0,1.0,19A
8944,468447.4218749998,SFH,60076,2402,9,3,0,Yes,3.0,1,2.0,19A
5868,210125.0,Condo,60202,850,4,1,0,No,1.0,0,2.0,20A
2152,148138.125,SFH,60002,1616,5,1,1,No,2.0,0,2.0,19A
2080,1050519.9375,SFH,60026,3708,10,3,1,No,4.0,0,2.0,20A
124,353624.99999999994,Townhouse,60062,2655,10,3,1,Yes,4.0,0,2.0,19A
1963,153750.0,Condo,60202,1027,5,1,0,No,2.0,0,0.0,19B
6444,1701499.9999999998,SFH,60091,6781,10,5,2,No,5.0,0,3.0,19A
3804,311275.2351562499,SFH,60077,1000,5,1,0,No,3.0,0,2.0,19A
276,798474.9999999999,SFH,60091,2672,11,4,0,Yes,5.0,0,2.0,19B
7148,589375.0,SFH,60202,1922,9,1,1,No,4.0,0,2.0,Pre1900
4704,535818.75,SFH,60202,2200,11,3,0,No,3.0,1,2.0,19B
3117,322875.0,Condo,60091,1183,6,2,1,No,3.0,0,1.0,19A
8296,611989.0625,Condo,60201,2000,8,2,0,No,3.0,0,0.0,19B
2683,128125.0,SFH,60002,2170,5,2,0,No,2.0,0,0.0,19B
4727,363516.25,SFH,60076,1600,7,2,0,No,3.0,0,2.0,19B
618,1008600.0,SFH,60091,3593,9,3,1,No,5.0,0,2.0,19B
7187,302375.0,Condo,60062,2100,6,2,0,No,2.0,0,2.0,19A
7653,271625.0,SFH,60091,1214,7,2,0,No,3.0,0,0.0,19A
2279,258300.0,Condo,60025,1200,5,2,0,No,2.0,0,1.0,19A
973,353522.49999999994,SFH,60002,2369,10,3,1,Yes,4.0,0,3.0,20A
1106,763804.375,SFH,60202,3853,10,3,0,No,4.0,0,1.5,19B
8452,436009.375,SFH,60053,1944,7,2,0,Yes,3.0,0,2.0,19A
6466,266500.0,Condo,60202,1028,5,2,0,No,2.0,0,0.0,19B
8471,1082143.75,SFH,60202,4440,10,4,2,Yes,5.0,0,2.0,19B
716,594500.0,Condo,60201,1500,5,2,1,No,2.0,0,1.0,new
1640,553500.0,SFH,60053,3150,8,2,1,No,4.0,0,2.0,19A
2733,399237.5,Townhouse,60091,1426,6,1,1,No,3.0,0,1.0,19A
8586,2206312.5,SFH,60202,6200,12,3,1,No,5.0,0,7.0,19B
2034,143500.0,Condo,60025,1200,5,2,0,No,2.0,0,1.0,19A
5291,165841.15624999994,Condo,60076,1200,5,2,0,No,2.0,0,0.0,19A
8990,286991.3515624999,SFH,60076,1020,6,2,0,Yes,2.0,0,2.5,19A
425,229036.25,Condo,60053,1585,6,2,0,No,2.0,0,1.0,19A
3065,562725.0,SFH,60091,2700,9,3,0,No,3.0,0,2.0,19A
8963,1470875.0,SFH,60025,4277,14,5,1,Yes,5.0,2,3.0,20A
5843,235750.0,SFH,60025,1120,7,1,0,No,3.0,0,1.0,19A
6404,574000.0,SFH,60091,1975,7,2,1,No,2.0,0,2.0,19B
8787,438635.9375,Townhouse,60025,1800,7,2,1,No,3.0,0,2.0,19A
7472,467585.9093749999,SFH,60076,2142,9,2,2,Yes,4.0,0,2.0,20A
9295,522750.0,SFH,60062,2570,10,2,1,No,4.0,1,2.0,19A
5178,525312.5,SFH,60076,3278,9,3,0,No,5.0,0,2.0,19A
5925,294175.0,Condo,60053,1627,4,2,0,No,2.0,0,1.0,20A
4441,463601.4140624998,Condo,60077,2765,7,2,1,No,3.0,0,2.0,20A
7910,1302775.0,SFH,60091,6664,11,5,1,Yes,4.0,1,2.0,recent
4895,120821.875,Condo,60076,1044,5,1,0,No,2.0,0,0.0,19A
1249,860999.9999999999,SFH,60025,2500,10,2,1,No,4.0,0,2.0,19A
1820,338249.99999999994,SFH,60077,2200,6,2,0,No,3.0,0,2.0,19A
6922,538445.3124999999,SFH,60076,2099,8,2,1,Yes,4.0,0,1.0,19A
6304,240875.0,Townhouse,60077,1312,7,1,1,No,3.0,0,0.0,19A
1419,585828.4999999998,SFH,60062,2788,9,2,1,No,4.0,0,2.5,19A
2398,1271000.0,SFH,60062,5718,16,4,1,No,6.0,0,3.0,19A
4891,1296625.0,SFH,60025,4593,13,5,1,Yes,5.0,1,3.0,new
5931,787968.7499999999,SFH,60201,2300,11,4,0,Yes,4.0,1,2.0,19A
8767,1208218.75,SFH,60025,7094,15,5,1,Yes,6.0,1,3.0,recent
2425,1376318.75,SFH,60025,5800,16,5,1,Yes,5.0,1,3.0,20A
6860,234725.0,Townhouse,60062,1650,6,1,1,No,2.0,0,0.0,19A
3048,228575.0,SFH,60002,2088,7,2,1,No,3.0,0,2.0,20A
74,488540.625,Condo,60201,1761,6,3,1,No,3.0,0,2.0,19A
3251,430500.0,SFH,60201,1750,7,1,1,No,4.0,0,2.0,19B
1185,307500.0,SFH,60076,1100,8,2,0,Yes,2.0,1,1.0,19A
8638,439949.21875,Townhouse,60026,1835,7,2,1,No,3.0,0,2.0,20A
4934,237287.5,Condo,60201,1400,7,1,1,No,2.0,0,0.0,19B
8962,1209500.0,SFH,60091,4230,13,5,0,Yes,5.0,1,2.0,recent
6385,359774.99999999994,SFH,60053,1369,7,2,0,No,3.0,0,2.0,19A
6772,178501.1875,SFH,60002,1717,7,2,1,No,3.0,0,2.0,19A
2465,174249.99999999997,Condo,60077,1350,5,2,0,No,2.0,0,0.0,19A
4798,177324.99999999997,Condo,60025,1050,5,2,0,No,2.0,0,0.0,19A
103,339239.45812499995,SFH,60053,1369,7,2,0,Yes,3.0,0,2.5,19A
9198,499046.875,SFH,60203,1720,11,2,0,Yes,3.0,1,1.0,19A
668,758499.9999999999,SFH,60062,3829,11,3,1,No,4.0,0,2.0,19A
3626,263838.20312499994,SFH,60077,1040,7,1,0,No,3.0,0,2.0,19A
9316,341453.125,SFH,60076,1489,10,3,0,Yes,3.0,1,2.0,19A
6630,262810.0,SFH,60002,2069,6,2,1,No,3.0,0,2.0,20A
3335,235750.0,SFH,60002,2175,8,2,1,No,3.0,0,2.0,20A
733,735437.5,SFH,60091,2607,8,3,0,No,4.0,0,2.0,19A
7530,882524.9999999999,SFH,60091,2800,9,3,1,No,4.0,0,1.0,19B
3073,390525.0,SFH,60053,2304,10,2,0,No,4.0,0,1.0,19A
4770,326134.5,Condo,60091,1475,7,2,0,No,3.0,0,0.0,19A
7679,590092.5,SFH,60201,1825,8,3,1,Yes,4.0,0,2.0,19B
4090,435625.0,SFH,60025,1674,8,1,1,No,3.0,0,1.0,19A
112,215250.0,Condo,60062,1450,5,2,0,No,2.0,0,1.0,19A
1358,457021.875,SFH,60062,2504,10,2,1,No,4.0,0,2.0,19A
756,240875.0,SFH,60002,2000,6,2,0,No,3.0,0,2.0,recent
7595,394625.0,Condo,60201,1573,6,2,0,No,2.0,0,1.0,20A
6152,697498.1499999999,SFH,60062,3517,10,4,1,Yes,5.0,0,2.5,19A
3813,36951.25,SFH,60002,1136,4,1,0,No,2.0,0,0.0,19A
769,411319.6875,Condo,60202,2240,8,2,0,No,3.0,0,1.0,19B
3551,309067.6093749999,Townhouse,60076,1650,6,2,0,No,2.0,0,1.0,20A
3534,307411.8900390624,SFH,60076,1271,8,1,1,No,3.0,0,2.0,19A
1278,122923.125,SFH,60002,1047,6,1,0,No,2.0,0,2.5,19A
3200,1055878.125,SFH,60062,5500,14,5,1,Yes,5.0,1,3.0,19A
7801,410000.0,SFH,60091,1842,10,2,0,No,3.0,1,2.0,19A
290,357212.5,Condo,60062,1820,6,2,0,No,2.0,0,1.0,19A
3193,173353.125,Condo,60077,1500,5,2,0,No,2.0,0,1.0,19A
825,743124.9999999999,SFH,60062,3200,8,2,1,No,4.0,0,2.0,19A
5883,179374.99999999997,Townhouse,60002,1225,7,3,0,Yes,2.5,1,2.0,19A
4540,169150.625,Condo,60025,1200,5,2,0,No,2.0,0,0.0,19A
1731,793221.8749999999,SFH,60062,3250,11,3,1,Yes,4.0,0,2.0,19A
5609,1547749.9999999998,SFH,60062,5631,15,5,2,Yes,4.0,1,4.0,20A
5687,309067.6093749999,SFH,60076,1414,7,2,0,No,3.0,0,2.0,19A
