,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
2449,190650.0,Townhouse,60077,1055,5,1,1,No,2.0,0,0.0,19A
3445,540687.5,SFH,60201,1763,7,2,1,No,4.0,0,1.0,19A
2105,514806.25,SFH,60076,2747,8,2,1,No,4.0,0,2.0,19A
3260,415000.0,SFH,60053,1508,8,2,1,Yes,4.0,0,2.0,19A
5361,278415.625,SFH,60077,1361,7,1,1,No,3.0,0,2.0,19A
6301,451000.0,SFH,60025,2249,8,4,0,Yes,3.0,0,2.0,19A
6111,257298.0625,SFH,60002,1804,5,2,0,No,3.0,0,2.0,recent
859,399237.5,SFH,60076,2157,8,2,0,No,3.0,0,2.0,19A
643,487958.42499999993,Townhouse,60062,2081,6,2,1,No,3.0,0,2.0,new
1230,321905.35,SFH,60002,2546,11,3,1,Yes,4.0,1,3.0,20A
6648,323067.1874999999,SFH,60076,1288,6,2,0,No,3.0,0,2.0,19A
3787,691874.9999999999,SFH,60025,5750,11,2,1,No,4.0,0,2.0,20A
5234,1334293.75,SFH,60201,5115,11,4,1,Yes,4.0,0,2.0,recent
2801,391550.0,Townhouse,60026,2090,7,2,1,No,2.0,0,2.0,19A
7936,253175.0,Condo,60091,1454,5,2,0,No,2.0,0,1.0,19A
6524,456125.0,SFH,60053,1690,8,3,0,No,3.0,0,2.0,19A
3229,1163041.8749999995,SFH,60062,9845,14,6,1,Yes,6.0,2,3.0,20A
7398,476625.0,SFH,60062,2148,9,2,1,No,4.0,0,2.0,19A
3425,285887.5386718749,SFH,60076,1131,7,1,1,Yes,3.0,0,0.0,19A
7884,374125.0,SFH,60025,1360,7,2,0,No,3.0,0,2.0,19A
9121,452563.2851562498,SFH,60077,1648,8,2,2,No,4.0,0,2.0,19A
4479,787968.7499999999,SFH,60062,4029,13,3,1,No,4.0,0,3.0,19A
3180,380815.4472656248,SFH,60077,2196,9,3,0,Yes,4.0,0,0.0,19A
8555,304681.25,SFH,60025,1344,6,2,0,Yes,3.0,0,1.5,19A
1108,246000.0,Condo,60053,1450,6,2,0,No,2.0,0,24.0,19A
2892,527622.5617187498,SFH,60077,3264,12,2,1,No,5.0,0,2.0,19A
5166,296144.9218749999,SFH,60076,1456,6,1,1,No,3.0,0,2.0,19A
4105,281472.2871093749,Condo,60077,1200,5,2,0,No,2.0,0,1.0,20A
6941,412562.5,SFH,60091,1557,6,1,1,No,3.0,0,2.0,19B
1175,466375.0,Townhouse,60025,2450,8,2,1,No,3.0,0,2.0,19A
4916,310985.0,SFH,60002,2376,9,2,1,No,4.0,0,3.0,20A
5993,866765.6249999999,SFH,60091,3539,10,3,1,No,4.0,0,1.0,19B
8996,2306250.0,SFH,60026,6300,14,6,1,Yes,4.0,1,3.0,recent
3479,389781.875,SFH,60053,1536,7,2,0,Yes,3.0,0,1.0,19A
3800,331143.8671874999,SFH,60077,1104,8,2,0,Yes,3.0,0,2.0,19A
4451,1281250.0,SFH,60091,3526,11,2,1,No,5.0,0,2.0,19B
8067,138272.5,Condo,60002,1186,6,1,1,No,3.0,0,1.0,19A
3887,256250.0,SFH,60025,957,6,2,0,Yes,2.0,2,1.0,19A
6511,812395.7812499999,SFH,60062,2053,5,2,0,No,3.0,0,2.0,recent
90,1204375.0,SFH,60026,4424,17,5,0,Yes,5.0,1,3.0,20A
6533,213712.5,SFH,60002,1935,7,2,0,No,3.0,0,2.5,19A
3670,476625.0,SFH,60202,1868,7,1,2,No,2.0,0,2.0,19B
2818,239017.1875,Townhouse,60025,1500,5,1,1,No,2.0,0,0.0,19A
6900,333125.0,SFH,60025,1366,8,1,1,No,3.0,0,1.0,19B
822,748249.9999999999,SFH,60091,2100,7,3,0,No,3.0,0,2.0,19A
7837,235750.0,SFH,60002,2979,9,2,1,No,4.0,0,2.0,20A
7151,240875.0,Condo,60076,1800,6,2,0,No,2.0,0,1.0,19A
381,638575.0,SFH,60062,2644,7,3,1,No,4.0,0,2.0,19A
5367,197825.0,SFH,60002,1557,7,2,0,No,3.0,0,2.0,19A
6856,489985.2343749998,SFH,60077,2585,11,3,0,No,4.0,2,2.0,19A
5175,778999.9999999999,SFH,60201,2193,8,2,1,No,3.0,0,2.0,19B
4988,146575.0,Townhouse,60002,1471,7,1,1,No,2.0,0,2.0,19A
2027,996123.8281249997,SFH,60062,6922,17,6,1,Yes,6.0,1,3.0,20A
5678,716474.9999999999,SFH,60201,2370,7,2,1,No,3.0,0,1.0,19A
9022,283668.75,Condo,60062,1747,7,2,0,No,2.0,0,2.0,19A
6233,682906.25,SFH,60202,2488,10,3,1,No,4.0,0,2.0,Pre1900
7731,589375.0,SFH,60026,2613,8,2,1,No,4.0,0,2.5,19A
5314,2363906.25,SFH,60091,7130,15,6,1,Yes,6.0,1,3.0,recent
942,251624.6875,SFH,60002,2400,7,3,0,Yes,3.0,0,1.0,19A
7392,288921.875,SFH,60053,2137,9,2,0,Yes,3.0,2,2.0,19A
6215,1655374.9999999998,SFH,60091,5800,15,6,1,Yes,6.0,1,2.0,recent
8878,248998.125,Condo,60062,1500,6,2,0,No,3.0,0,0.0,19A
83,177555.625,Condo,60025,1150,5,2,0,No,2.0,0,0.0,19A
8661,794374.9999999999,SFH,60076,3048,10,4,0,No,5.0,0,2.0,19A
4462,1081375.0,SFH,60091,3492,10,3,1,No,4.0,0,3.0,19B
7280,372971.875,SFH,60077,2950,9,3,0,No,4.0,0,2.0,19A
1315,389781.875,SFH,60053,1800,7,2,0,No,3.0,0,2.0,19A
6732,225884.375,SFH,60002,1800,7,2,0,Yes,3.0,0,2.5,19A
5631,304681.25,Townhouse,60077,2212,8,2,1,No,3.0,0,2.0,19A
284,568598.2499999998,SFH,60062,2500,9,2,1,No,4.0,0,2.0,19A
1421,507753.92968749977,Condo,60077,1659,4,2,0,No,2.0,0,1.0,20A
6800,376911.7187499999,SFH,60062,1943,8,2,0,No,2.0,0,2.0,19A
1967,1076250.0,SFH,60091,4316,10,4,1,Yes,4.0,1,2.0,20A
3544,404490.625,SFH,60053,2162,7,3,0,No,3.0,0,2.0,19B
2486,1101875.0,SFH,60091,2932,11,3,1,Yes,3.0,1,2.0,20A
3818,726901.1718749998,SFH,60062,2378,7,3,1,Yes,2.0,0,2.0,19A
4344,506401.25,SFH,60202,1658,8,1,2,Yes,3.0,0,2.0,19B
6329,526363.125,SFH,60062,3726,11,2,1,No,4.0,0,2.0,19A
9017,170687.16406249994,Condo,60077,1300,6,2,0,No,3.0,0,0.0,19A
1004,184500.0,Townhouse,60201,800,6,1,0,No,2.0,0,0.0,19B
8148,355674.99999999994,SFH,60053,2150,7,2,0,Yes,3.0,0,1.5,19A
6202,467528.125,Condo,60201,1800,6,2,0,No,3.0,0,1.0,20A
2715,348804.87343749986,SFH,60062,1619,7,1,1,No,3.0,0,2.0,19A
5576,357107.4375,SFH,60076,1400,7,3,0,Yes,3.0,0,0.0,19A
7317,150239.375,Condo,60202,1000,5,1,0,No,2.0,0,0.0,19B
